Turma;Idade;Sexo;Orientação;Religião;Presenciou Bullyng;Meio de transporte;Tempo de locomoção;Passe Escolar;Dificuldade de chegar no Horário;Quem te acorda?;Renda Mensal;Programa Social;Situação Conjugal;Moradia;Escolaridade do Responsável;Situação Alimentar;Ocupação do responsável;Importância do Estudo;Horas de estudo diária;Português;Inglês;Espanhol;Artes;Educação Física;História;Geografia;Sociologia;Filosofia;Matemática;Física;Química;Biologia;Após o horário de aula;Livros por ano;Em relação a pergunta anterior, os livros que você lê são;Ensino Fundamental
2º B;16;Masculino;Heterossexual;;Não ;Moto;Até 10 minutos;Não;Não;O seu responsável te acorda;De 1000 a 2000 reais;Não;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Uma hora;9;9;7;8;9;9;9;9;9;9;9;7;9;Arrumar a casa, Estudar, Somente Lazer;Um;Os indicados na escola;Presidente Arthur
2º B;17;Masculino;Heterossexual;Católica ;Não ;Carro próprio;De 10 a 20 minutos;Sim;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não sei;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Está desempregado;9;Uma hora;8;6;2;10;10;7;7;8;6;6;6;5;6;Trabalho;Quatro;Os indicados na escola;Araújo Lima
2º A;16;Masculino;Heterossexual;;Sim;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;Até 1000 reais;Não sei;Não conhece pai ou mãe;Alugada;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Menos de 1 hora;6;4;3;10;8;4;4;8;6;5;5;5;3;Arrumar a casa, Olhar os meus irmãos, Fazer atividade Física;Quatro;Livros literários de minha preferência;Presidente Arthur
2º A;16;Feminino;Heterossexual;;Sim;A Pé;De 10 a 20 minutos;Não;As vezes;O seu responsável te acorda;Até 1000 reais;Sim;Vivem separados;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Menos de 1 hora;7;5;5;7;9;6;7;7;7;8;6;6;7;Arrumar a casa, Olhar os meus irmãos;Um;Livros literários de minha preferência;Presidente Arthur
3º A;16;Masculino;Heterossexual;Católica ;Não;Carona;Até 10 minutos;Não;Não;O seu responsável te acorda;De 2000 a 3000 reais;Não sei;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Três horas;7;5;4;8;10;10;10;10;6;9;8;6;6;Somente Lazer;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência;Ecovam
2º C;16;Feminino;Heterossexual;Cristão;Não;A Pé;De 20 a 30 minutos;Não;Não;O seu responsável te acorda;Até 1000 reais;Sim;Vivem juntos;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;6;Uma hora;8;7;9;4;3;4;7;7;4;5;6;1;8;Trabalho, Estudar;Três;Livros literários de minha preferência, Livros religiosos, Livros científicos;Ecovam
2º A;15;Feminino;Bissexual;;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Pai ou Mãe falecido;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Menos de 1 hora;8;7;6;8;7;7;7;9;8;3;3;3;8;Arrumar a casa;Um;Os indicados na escola;Ecovam
2º C;17;Feminino;Heterossexual;Católica ;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;8;5;0;6;7;6;8;7;6;5;4;4;6;Estudar;Nenhum;Nenhum;Em outro estado 
3º A;18;Feminino;Heterossexual;Evangélica;Não;A Pé;Até 10 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Não;Vivem separados;Alugada;Estudou até o 9º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;9;Uma hora;8;8;7;9;9;8;7;7;8;4;6;6;8;Arrumar a casa, Estudar;Dois;Os indicados na escola, Livros literários de minha preferência;Ecovam
2º C;16;Masculino;;Cristão;Não;Bicicleta;Até 10 minutos;Sim;Não;Você acorda sozinho;De 1000 a 2000 reais;Não;Vivem separados;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;6;8;5;9;10;6;5;5;5;6;7;8;7;Arrumar a casa, Estudar;Dois;Os indicados na escola, Livros literários de minha preferência;Cepi santa luzia
2º B;15;Masculino;Heterossexual;;Sim;Bicicleta;De 20 a 30 minutos;Não;Não;Você acorda sozinho;De 3000 a 5000 reais;Não;Não conhece pai ou mãe;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;9;Não estudo em casa.;7;4;5;6;8;6;6;6;8;10;9;7;8;Somente Lazer;Quatro;Os indicados na escola;Araújo Lima
3º A;17;Feminino;Bissexual;Católica ;;A Pé;De 10 a 20 minutos;Não;As vezes;Você acorda sozinho;De 1000 a 2000 reais;Não;Pai ou Mãe falecido;Alugada;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;5;Uma hora;6;4;4;7;8;6;6;5;6;6;6;5;6;Olhar os meus irmãos;Um;Os indicados na escola;Ecovam
2º A;16;Masculino;Heterossexual;Evangélica;Não ;A Pé;De 10 a 20 minutos;Sim;Sim;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem juntos;Alugada;Estudou até o Ensino Médio;Tem dias em que temos menos de 3 refeições;Tem emprego fixo;7;Não estudo em casa.;5;10;10;4;2;4;2;4;6;9;10;10;5;Trabalhar;Nenhum;Nenhum;Presidente Arthur
2º A;17;Masculino;Heterossexual;Católica ;Não ;Carro próprio;Até 10 minutos;Não;Não;Você acorda sozinho;De 5000 a 10000 reais;Não;Vivem juntos;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Não estudo em casa.;6;5;5;7;10;7;9;8;4;10;6;6;10;Trabalho, Arrumar a casa, Fazer atividade Física;Nenhum;Nenhum;Ecovam
3º A;17;Masculino;Heterossexual;Cristão ;Não ;Carro próprio;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 1000 a 2000 reais;Não sei;Vivem juntos;Própria;Estudou até o Ensino Médio;Todos os dias temos ao menos 3 refeições;Possui o próprio negócio;8;Menos de 1 hora;6;3;3;6;6;6;5;5;6;8;5;0;6;Trabalho, Olhar os meus irmãos;Um;Livros literários de minha preferência;Marieta Telles
2º B;16;Masculino;Heterossexual;;Não ;A Pé;De 10 a 20 minutos;Não;Não;Você acorda sozinho;De 2000 a 3000 reais;Sim;Vivem juntos;Própria;Estudou somente até o 5º ano;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;8;Menos de 1 hora;7;6;4;7;8;7;6;6;7;9;8;7;7;Arrumar a casa, Somente Lazer;Nenhum;Nenhum;Presidente Arthur
2º B;16;Feminino;Heterossexual;Evangélica;Não ;Bicicleta;De 10 a 20 minutos;Não;Sim;Você acorda sozinho;Até 1000 reais;Não;Vivem separados;Própria;Ensino Superior;Todos os dias temos ao menos 3 refeições;Tem emprego fixo;10;Duas horas;9;5;10;9;10;5;7;8;5;8;5;8;10;Arrumar a casa, Somente Lazer;Cinco ou mais;Os indicados na escola, Livros literários de minha preferência, Livros religiosos;E.M. Professora Amelia
