NMU,V_PIB,V_PIBpC,V_VAADESS,V_VAADESS_R,V_VAAGRO,V_VAAGRO_R,V_VABT,V_VAIND,V_VAIND_R,V_VASERV,V_VASERV_R,PIB_M,PIBpC_M,VAADESS_M,VAADESS_R_M,VAAGRO_M,VAAGRO_R_M,VABT_M,VAIND_M,VAIND_R_M,VASERV_M,VASERV_R_M,RAECP,RAP,RCC,RCO,REM,RIT,RM,RSE,RSIUP,CENSO,EXPOR,IDHME,IDBEF1,IDBEF2,IDBEM,IDBFF1,IDBFF2,IDBFM,IDBMF1,IDBMF2,IDBMM,NSLPE_F1,NSLPE_F2,NSLPE_M,NSLPF_F1,NSLPF_F2,NSLPF_M,NSLPM_F1,NSLPM_F2,NSLPM_M,NSME_F1,NSME_F2,NSME_M,NSMF_F1,NSMF_F2,NSMF_M,NSMM_F1,NSMM_F2,NSMM_M,TXAPRO_MEEF1,TXAPRO_MEEF2,TXAPRO_MEEM,TXAPRO_MFEF1,TXAPRO_MFEF2,TXAPRO_MFEM,TXAPRO_MMEF1,TXAPRO_MMEF2,TXAPRO_MMEM,TXAPRO_MPEF1,TXAPRO_MPEF2,TXAPRO_MPEM,INREND_MEEF1,INREND_MEEF2,INREND_MEEM,INREND_MFEF1,INREND_MFEF2,INREND_MFEM,INREND_MMEF1,INREND_MMEF2,INREND_MMEM,INREND_MPEF1,INREND_MPEF2,INREND_MPEM,NSMATE_MEEF1,NSMATE_MEEF2,NSMATE_MEEM,NSMATE_MFEF1,NSMATE_MFEF2,NSMATE_MFEM,NSMATE_MMEF1,NSMATE_MMEF2,NSMATE_MMEM,NSMATE_MPEF1,NSMATE_MPEF2,NSMATE_MPEM,NSLP_MEEF1,NSLP_MEEF2,NSLP_MEEM,NSLP_MFEF1,NSLP_MFEF2,NSLP_MFEM,NSLP_MMEF1,NSLP_MMEF2,NSLP_MMEM,NSLP_MPEF1,NSLP_MPEF2,NSLP_MPEM,IDEB_MEEF1,IDEB_MEEF2,IDEB_MEEM,IDEB_MFEF1,IDEB_MFEF2,IDEB_MFEM,IDEB_MMEF1,IDEB_MMEF2,IDEB_MMEM,IDEB_MPEF1,IDEB_MPEF2,IDEB_MPEM,IDMECO,IDMINFRA,IDMSUS,IDMSEG,IDMTRAB,REGIOES
Abadia de Goiás,1.902064040478618,1.5211417114451646,2.352567782802679,1.205508131049707,1.7134338368302398,8.780016615945485,1.9515154831466437,2.8808858116281955,1.4762300563370483,1.5974050424200246,0.8185459230097175,168.42300545454546,2.090634636363637,33.31252890909091,19692107835.498096,4.593264,15908482521.93479,147.85813572727272,29.628746363636363,17122556704.52002,63.068771727272726,11688401279.563704,2.852188254126093,4.96258615431534,1.5284232267755713,1.8187393726180008,1.0,1.7376463584044457,2.270558841743364,1.4738105412457838,2.6773092858883745,1.7818499127399652,4.333338724023611,0.622,,1.135135135135135,1.15,,,,1.163265306122449,1.1951219512195124,,,1.0644310474755083,1.0697145061728397,,,,1.0998305264272852,0.9864915292185984,,,1.025445292620865,1.0282473057288712,,,,1.0104364789075837,0.9348576358930112,,,"8,81167E+15",956,,,,"9,58167E+15","8,05833E+15",,"9,58167E+15","8,33333E+15",956,,"8,79319E+15",954607515,,,,95894599,"8,13497E+15",,95894599,834613165,954607515,,237932,268185,,,,21971,26642,,21971,251778,268185,,241708,268235,,,,209164,"2,64044E+16",,209164,253018,268235,,41,43,,,,"5,68333E+15","4,46667E+15",,"5,68333E+15","4,25E+15",43,2.4954128440366974,1.0480549199084668,0.7869281045751633,0.8217665615141956,1.7399103139013452,CENTRO GOIANO
Abadiânia,2.1655302757767885,0.1736573015480974,2.060735106381945,0.9520232437199722,2.598500930299517,1.2004615619017864,2.164584866993109,3.285700103530925,1.517935449717526,1.8326521459628589,8.466529420528797,214.90902745454548,1.155305818181818,60.83631163636363,18309320830.138977,47.769506,14255250566.812649,197.16945572727272,17.167913454545452,7963848791.276726,103.60190163636364,18624395384.627865,2.410392379869206,2.2966612552069567,1.3094861269103315,2.4236247094456576,1.7942224741337074,2.4431806446854023,2.229668184775537,1.912107151164926,0.7959687492477513,0.0933553341372088,8.401553710152692,0.579,1.2173913043478262,1.263157894736842,1.024390243902439,,,,1.1956521739130437,,,1.0897544007589333,1.096553879117936,0.9679668854415272,,,,1.0955647993085191,,,1.0722588907496795,1.0357505070993915,0.9710608512399804,,,,1.056385566089244,,,9624,9125,932,,,,"9,39833E+15",,,941,9125,932,965188206,"9,11278E+15",92963749,,,,"9,41004E+15",,,"9,42499E+15","9,11278E+15",92963749,210355,246944,26573,,,,206792,,,207824,246944,26573,198255,246252,26816,,,,"1,90458E+16",,,192426,246252,26816,51,"4,55E+15",41,,,,"5,06667E+15",,,"5,11667E+15","4,55E+15",41,2.0084033613445382,0.6830065359477123,0.9664,1.2555205047318612,1.5688073394495412,LESTE GOIANO
Acreúna,1.791057745899408,1.6347197347025946,1.7040400083823566,0.93339238169399,2.368364429789013,1.297277825031014,1.825641650609726,1.1845583680199812,6.488449513760608,1.6167214481736556,0.8855634114360315,464.4146611818182,2.569403090909091,82.55146009090909,12339385658.58382,179.33911963636362,21971979618.77271,514.407662909091,44.40463136363637,8194080355.630249,182.1272038181818,24922733580.19712,2.40237267056606,2.000399051311975,1.4581394502093574,2.31429934624599,,2.3550559706228267,2.10922057802233,1.688632779800261,0.3164783215963587,0.0635632920755461,1.067376070594342,0.553,,1.4166666666666663,1.0227272727272727,,,,1.2040816326530612,1.0,,,1.064049674648067,1.0078866711519772,,,,1.075342117311899,0.8208245981830887,,,1.074971457566916,0.99486098787341,,,,1.0062162530060348,0.8625713791313376,,,"8,965E+15",963,,,,9405,"8,08667E+15",,9405,8895,963,,"8,94987E+15",966924015,,,,"9,42041E+15","8,08449E+15",,"9,42041E+15","8,88067E+15",966924015,,25691,2769,,,,232502,2744,,232502,256922,2769,,250838,"2,7384E+16",,,,"2,11014E+16",26031,,"2,11014E+16",250428,"2,7384E+16",,"4,63333E+15","4,55E+15",,,,"5,86667E+15","4,43333E+15",,"5,86667E+15","4,6E+16","4,55E+15",1.86875,0.932748538011696,0.9511533242876526,1.0286944045911048,1.3238866396761133,SUL GOIANO
Adelândia,1.5763002221209383,1.5537454089650182,1.836405087067491,0.1143099603193034,17.260388126556087,1.074400357381441,1.6065136248301013,14.219778758050646,0.885132783082029,13.329446600144232,82.9712639477546,29.479047636363635,1.2517194545454546,10.822762545454545,16378483086.595486,5.890371454545454,15041146850.527002,27.489846727272727,2.6408245454545454,10476181522.267351,7.000574363636363,15869428650.373848,2.223775895275825,1.878333400572881,0.7358669577223605,1.169032964026809,,2.030412510110541,2.2557023717628537,0.5108208250731615,,-0.0726685506661283,,0.622,1.0816326530612244,1.3714285714285714,0.9069767441860466,,,,0.9444444444444444,,,1.0504928142723418,1.1388699175886718,0.970111839568068,,,,1.0102515821957216,,,1.040994793509579,1.0444269535178623,0.9279945911429966,,,,1.0861471637623457,,,"9,84667E+15","9,37167E+15",1000,,,,"9,41667E+15",,,"9,59333E+15","9,37167E+15",1000,"9,82055E+15","9,34704E+15",10,,,,93721501,,,95692417,"9,34704E+15",10,"1,97163E+16",2349425,25445,,,,205945,,,200676,2349425,25445,18363,2259025,25647,,,,19293,,,18735,2259025,25647,50,408,41,,,,"5,1E+16",,,"5,01667E+15",408,41,2.027522935779816,0.8713826366559486,1.3466204506065858,1.0076004343105318,1.3715846994535517,CENTRO GOIANO
Alexânia,2.095048426558741,1.823761840241361,2.001356227802701,0.9435683152674758,2.6465620431580037,1.247759920808871,2.1210506917407184,241.3058959092766,0.1137671517464963,1.9114526564026024,0.9011819773311962,751.8069624545454,2.205966,90.68859390909093,12908529253.966728,49.21771172727273,8086745041.263324,603.4226813636363,112.2569191818182,11061775545.365108,341.12934618181816,16425808603.213806,2.2526651265065274,2.644668158090977,1.5212782663316582,3.181794824214568,1.789444844001507,2.326034749744101,1.9820169503596607,1.100414056693917,0.2225111062273362,0.1341227849164357,0.2308293412156423,0.568,,1.4324324324324322,1.1,,,,1.2666666666666666,1.2051282051282053,,,1.1042900962225304,1.0361920048918445,,,,1.181411102818761,1.0248413265520575,,,1.068087748344371,0.9952076092921164,,,,1.0363529756669598,0.9903818369453044,,,8875,894,,,,"9,42167E+15","8,70667E+15",,"9,42167E+15","8,82333E+15",894,,"8,87629E+15","8,97447E+15",,,,943674505,"8,71008E+15",,943674505,"8,82907E+15","8,97447E+15",,"2,53554E+16","2,77195E+16",,,,207994,2368175,,207994,251112,"2,77195E+16",,"2,4956E+16",27035,,,,192382,23889,,192382,248082,27035,,"4,46667E+15",415,,,,"5,13333E+15",398,,"5,13333E+15","4,38333E+15",415,1.9069767441860463,1.039426523297491,0.9428191489361702,1.5509355509355511,1.6775510204081632,LESTE GOIANO
Aloândia,1.9150111078068035,0.1967080839757735,1.7484366442420105,0.9085322868708344,2.524302896540208,1.311692185645421,1.9244628611537573,3.066437562460317,1.5933991891233017,1.4535392857925171,0.7552960959304179,36.05202181818182,1.0580686363636365,11.163542727272729,11179999215.245182,8.178897727272728,19644945869.758297,31.136394272727276,2.2340275454545453,5787591663.833339,10.609043272727272,17875973599.55346,1.7989708279603902,2.8104969749906874,1.0,1.7923781726270178,1.07,1.6064057971014494,2.278590746643485,0.5769052073268507,,-0.038030229156509,,0.585,1.2777777777777777,1.2916666666666667,1.0784313725490198,,,,,,,1.1844270621698496,1.1177254901960785,0.9657235955760252,,,,,,,1.1853987444780285,1.10246909050886,0.968143401133092,,,,,,,"9,79667E+15","8,39167E+15",854,,,,,,,"9,79667E+15","8,39167E+15",854,980924665,"8,32577E+15",85449302,,,,,,,980924665,"8,32577E+15",85449302,236068,"2,87167E+15",32301,,,,,,,236068,"2,87167E+15",32301,214288,"2,71677E+15",31917,,,,,,,214288,"2,71677E+15",31917,626,5275,51,,,,,,,626,5275,51,1.8849557522123888,0.7815789473684212,1.08248730964467,1.0946107784431138,1.3775510204081634,SUL GOIANO
Alto Horizonte,0.0959800713457431,0.6973631766734056,3.1067116719434797,0.3447569786172143,1.4143423001850168,15.695192526098635,0.9011309022384956,0.8027564788176651,0.8908322606888086,0.8880110107223859,0.9854406374439928,479.7445389090909,11.507129,30.786280727272725,22151467107.703007,7.331484727272728,11706632702.2179,661.1340982727272,473.0194393636364,5968195840.554282,124.92073590909092,18984336313.76545,2.109197716888636,2.4896367740611534,1.5564626200715923,2.809943414971276,1.4101065964943578,1.535442232343523,1.6757588235572531,1.556310668865596,0.9972415681978244,0.3478357380688124,0.7935726053951381,0.624,,1.6896551724137934,0.9756097560975612,,,,1.409090909090909,1.4736842105263157,,,1.191068534934706,0.9927840773927524,,,,1.2436681222707424,1.1356666666666666,,,1.1722384056965829,0.9497072122155512,,,,1.209385718740256,1.1391714214835027,,,"9,06667E+15",971,,,,9545,8682,,9545,"8,58333E+15",971,,88203631,974217,,,,"9,53077E+15",871493184,,"9,53077E+15","8,59062E+15",974217,,"2,45747E+16",27574,,,,227546,25724,,227546,248238,27574,,24008,27035,,,,206846,"2,52037E+16",,206846,242474,27035,,"4,23333E+15",45,,,,"5,83333E+15",45,,"5,83333E+15",43,45,1.702127659574468,0.8154362416107384,0.9205955334987592,1.0153061224489797,1.216,NORTE GOIANO
Alto Paraíso de Goiás,2.433394637001328,2.213098321749197,0.1720624254251344,0.0716382537237108,3.1149276981327327,1.296901285789097,2.4018232785060887,2.333580337314666,9.715870264885316,2.387786151026344,9.94155636842493,126.7762570909091,1.5957222727272726,24.85287290909091,14995148741.11506,36.1071989090909,14934513660.916063,126.45053572727274,7.831460181818182,6031607044.53727,51.263946727272725,25872011887.87717,2.4043439159305664,3.119463889963767,2.03814947729755,2.025467345421908,,3.311414459895387,2.1835845107921688,1.6492008356938694,0.5209176012747442,0.4957153231663035,66.61016628873772,0.611,,1.105263157894737,1.0285714285714287,,,,1.5277777777777777,,,,0.9541065884054272,0.9857960310052352,,,,1.1720364403955117,,,,0.9691789581379486,0.9589604375424168,,,,1.0763902932254803,,,,"9,03667E+15",920,,,,"8,23667E+15",867,,"8,23667E+15","9,03167E+15",920,,"9,02484E+15",91866797,,,,"8,22958E+15",86942703,,"8,22958E+15",902875175,91866797,,235962,25925,,,,204108,,,204108,235962,25925,,2322,25971,,,,190044,,,190044,2322,25971,,"4,18333E+15",39,,,,44,,,44,"4,18333E+15",39,2.0161290322580645,1.0161725067385443,0.9706275033377836,0.8745019920318725,1.695454545454545,NORTE GOIANO
Alvorada do Norte,1.6961326668339745,1.590720297104907,1.642677592944059,0.0969134900064256,23.06719404519053,1.360901426535127,1.6949937442508214,1.5425966965355706,0.9100899055042788,1.5968939236233697,0.0942123786025645,101.299277,1.1035262727272728,29.69998972727273,18295327997.78993,13.557973727272726,9343666066.395874,102.2174961818182,7.291549545454546,11978863181.408588,48.255421090909095,16467893034.23211,2.090577441398274,3.1282137939667045,6.679021265793122,1.7959952155229697,4.737470588235294,1.611601490431574,2.285016589831473,1.43983724239372,3.2259249283807936,0.0447798119742701,,0.548,1.4651162790697674,1.4999999999999998,1.076923076923077,,,,1.472222222222222,1.3658536585365857,,1.3053332587162123,1.1146646217691372,0.99227470983958,,,,1.142857142857143,1.121894667108314,,1.1434281561461794,1.0926790238698494,0.9681279355848804,,,,1.0916594734570564,1.1127248445390423,,"9,28667E+15","9,16833E+15",9135,,,,"9,41167E+15","9,36333E+15",,"9,41E+15","9,24833E+15",9135,"9,3013E+15","9,18122E+15",91362101,,,,"9,38979E+15","9,35941E+15",,94136266,924962005,91362101,216138,238878,27345,,,,202148,246756,,205972,243156,27345,201728,236006,274605,,,,188692,251168,,192006,244082,274605,54,"4,31667E+15",425,,,,"4,96667E+15","4,7E+15",,"5,08333E+15","4,51667E+15",425,2.51111111111111,1.0962199312714775,1.038929440389294,0.8390243902439025,1.7339901477832511,LESTE GOIANO
Amaralina,2.059594256166072,1.868900698533105,1.7023091294468589,0.8214104535593894,0.230397860614135,1.1117323399872985,2.072422041952718,2.1088107798728952,1.017558555730225,0.1982850381092322,0.9567792375070492,50.137699454545455,1.3602305454545454,14.592335363636364,15147246287.062037,22.621663181818185,5166950889.641142,51.45555363636363,1.2625269090909093,21677065709.53565,6.833206454545454,11416781405.777315,2.1702913597516997,2.250783846861077,1.0,0.4533882879134595,0.7475245098039216,1.2187195320116997,2.211827069504668,1.3459295002228553,,-0.0483401281304601,,0.489,,1.4473684210526316,1.2162162162162162,,,,1.2195121951219514,,,,1.1292129988794068,1.0655160128260956,,,,1.0644938385350686,,,,1.176892638170196,1.1482114566830652,,,,1.036279119469972,,,,"9,26167E+15",966,,,,"8,975E+15",980,,"8,975E+15","9,32667E+15",966,,"9,25213E+15",97112653,,,,"8,92808E+15",97558397,,"8,92808E+15","9,32556E+15",97112653,,246978,258015,,,,209062,,,209062,246978,258015,,"2,44168E+16",266125,,,,"1,88062E+16",,,"1,88062E+16","2,44168E+16",266125,,"4,48333E+15",42,,,,"4,86667E+15",,,"4,86667E+15","4,51667E+15",42,1.8739495798319328,1.3908045977011494,1.0459770114942528,1.0158227848101269,1.401197604790419,NORTE GOIANO
